name,abb,CAS,synonyms,tags
"Poly(2,2,3,3-tetrafluoropropyl methacrylate)",,,,"Halogenated, Polymethacrylates"
"Poly(2,3-dimethylbutadiene)",,,,Polydienes & polydiene copolymers
"Poly(2,5-difluorostyrene)",,,"Poly(1,4-difluoro-2-vinylbenzene)","Aromatic, Halogenated, Polystyrenes"
"Poly(2,5-Thienylene Vinylene)",,,,Others
"Poly(2,6-Pyridinediylvinylene)",,,,Others
"Poly(2,6,3',5'-tetrachloro bisphenol A carbonate)",,,,"Aromatic, Halogenated, Polycarbonates"
Poly(3-butoxypropylene oxide),,,,Polyglycols
Poly(3-chlorostyrene),,,,"Aromatic, Halogenated, Polystyrenes"
poly(3-hydroxybutyrate),PHB,26063-00-3; 26744-04-7; 31759-58-7,,Polyesters
Poly(3-methoxypropylene oxide),,,,Polyglycols
Poly(3-methylstyrene),,,,"Aromatic, Polystyrenes"
Poly(4-bromostyrene),,,,"Aromatic, Halogenated, Polystyrenes"
Poly(4-chlorophenyl acrylate),,,,"Aromatic, Halogenated, Polyacrylates"
Poly(4-chlorostyrene),,,,"Aromatic, Halogenated, Polystyrenes"
Poly(4-fluorostyrene),,,,"Aromatic, Halogenated, Polystyrenes"
Poly(4-methyl pentene-1),,,,Polyolefins
Poly(4-methylstyrene),"PMS, PpMS, PPMS",,,"Aromatic, Polystyrenes"
Poly(4-tert-butylcyclohexyl methacrylate),,,,Polymethacrylates
Poly(4-tert-butylstyrene),,,,"Aromatic, Polystyrenes"
"Poly(4,4'-pentamethylenedibenzoic anhydride)",,,,"Aromatic, Polyanhydrides"
"Poly(4,4'-thiodiphenylene carbonate)",,,,"Aromatic, Polycarbonates"
poly(acrylic acid),PAA,9003-01-4,,Polyacrylates
poly(acrylonitrile-co-butadiene-co-styrene),ABS,9003-56-9,"ABS Resins, Acrylonitrile-butadiene-styrene copolymers, Acrylonitrile butadiene styrene copolymer blend","Other copolymers, Polyacrylonitriles, Polydienes & polydiene copolymers, Polystyrenes"
poly(acrylonitrile-co-styrene-co-acrylate),ASA,9003-54-7; 26299-47-8; 26716-29-0,Acrylonitrile styrene acrylic ester copolymer blend,"Aromatic, Other copolymers, Polyacrylates, Polyacrylonitriles, Polystyrenes"
poly(amide imide),PAI,42955-03-3; 914797-27-6,,Polyamideimides
Poly(azelaic anhydride),,,,Polyanhydrides
Poly(benzyl acrylate),,,,"Aromatic, Polyacrylates"
Poly(benzyl methacrylate),,,,Polymethacrylates
Poly(bisphenol-A diglycidyl ether- alt - ethylenediamine),,,DGEBA-Edamine Epoxy,"Aromatic, Epoxy resins"
"Poly(bisphenol-A diglycidyl ether-alt-1,6-diamino hexane)",,,DGEBA-Hexanediamine Epoxy,"Aromatic, Epoxy resins"
"Poly(Bisphenol 
							A terephthalate)",,,,"Aromatic, Polyesters"
Poly(bisphenol A isophthalate),,,,"Aromatic, Polyesters"
Poly(bisphenol B carbonate),,,,"Aromatic, Polycarbonates"
Poly(bisphenol F carbonate),,,Poly[methane bis(4-phenyl)carbonate],"Aromatic, Polycarbonates"
"poly(buta-1,3-diene)",PBD,,"Polybutadiene rubbers, Polybutadiene",Polydienes & polydiene copolymers
poly(butadiene-co-acrylonitrile-co-acrylic acid),PBAA,25265-19-4,,"Other copolymers, Polyacrylates, Polyacrylonitriles, Polydienes & polydiene copolymers"
Poly(butyl acrylate),,,Polybutyl acrylate,Polyacrylates
Poly(butyl ethylene),,,Polybutyl ethylene,Polyolefins
"poly(butylene 2,6-naphthalate)",PBN,28779-82-0,,"Aromatic, Polyesters"
Poly(butylene adipate),,,,Polyesters
poly(butylene terephthalate),PBT,24968-12-5; 26062-94-2,Polybutylene terephthalate,"Aromatic, Polyesters"
Poly(cyanomethyl acrylate),PCMA,,Polycyanomethyl acrylate,Polyacrylates
Poly(cyclohexyl acrylate),,,Polycyclohexyl acrylate,Polyacrylates
Poly(cyclohexyl methacrylate),,,,Polymethacrylates
poly(cyclohexylene terephthalate),PCT,24936-69-4; 26124-27-6,,"Aromatic, Polyesters"
Poly(cyclohexylethylene),PVCH,,Poly(vinylcyclohexane),Polyolefins
poly(diallyl phthalate),DAP,25053-15-0,DAIP,"Aromatic, Polyesters"
Poly(dibutyl fumarate),,,,Polyfumarates
poly(dicyclopentadiene-co-p-cresol),PDPD,68610-51-5,,"Aromatic, Polydienes & polydiene copolymers"
Poly(diethyl fumarate),,,,Polyfumarates
Poly(diethylsiloxane),PDES,,,Polysiloxanes
Poly(dimethyl fumarate),,,,Polyfumarates
Poly(dimethyl itaconate),,,,Polyitaconate
Poly(dipropyl fumarate),,,,Polyfumarates
Poly(dodecyl methacrylate),,,,Polymethacrylates
Poly(ether ether sulfone),PEES,,"Poly(1,4-phenylene ether ether sulfone), Poly{[bis(4-chlorophenyl)sulfone]-alt-[hydroquinone]}, Radel®",Polysulphones
poly(ether imide),PEI,61128-46-9,polyether imide,"Polyethers, Polyimides"
poly(ether sulfone),PES,25667-42-9,poly(ether sulphone),Polysulphones
poly(ethyl-5-norbonene-2-carboxylate),,,,Others
poly(ethyl acrylate),PEA,9003-32-1,,Polyacrylates
Poly(ethyl cyanoacrylate),,,"Poly(ethyl α-cyanoacrylates), Polyethyl cyanoacrylate",Polycyanoacrylates
Poly(ethyl methacrylate),PEMA,,,Polymethacrylates
"poly(ethylene-co-1,4-cyclohexylenedimethylene terephthalate)",PCTG,25038-91-9,,"Aromatic, Other copolymers, Polyesters"
poly(ethylene-co-acrylic acid),EAA,9010-77-9,Ethene acrylic acid copolymers,"Other copolymers, Polyacrylates, Polyolefins"
poly(ethylene-co-butyl acrylate),EBAC,25750-84-9,,"Other copolymers, Polyacrylates, Polyolefins"
poly(ethylene-co-chlorotrifluoroethylene),ECTFE,25101-45-5; 9044-11-5,Ethylene chlorotrifluoroethylene copolymers,"Halogenated, Other copolymers, Polyolefins"
poly(ethylene-co-ethyl acrylate),EEAC,9010-86-0,EEA,"Other copolymers, Polyacrylates, Polyolefins"
poly(ethylene-co-methacrylic acid),PEM,25053-53-6,,"Other copolymers, Polymethacrylates"
