name,abb,CAS,synonyms,tags
silane-crosslinkable polyethylene,PEX,,,"Polyolefins, Polysilanes"
Silicone plastics,SI,,,Polysiloxanes
Silicone rubbers,SIR,,,Polysiloxanes
styrene-butadiene-styrene triblock copolymer,SBS,694491-73-1,Poly(styrene-butadiene-styrene),"Aromatic, Other copolymers, Polydienes & polydiene copolymers, Polystyrenes"
styrene-butadiene block copolymer,SBC,9003-55-8,,"Aromatic, Other copolymers, Polydienes & polydiene copolymers, Polystyrenes"
styrene-ethylene-butylene-styrene triblock copolymer,SEBS,308076-28-0,,"Other copolymers, Polyolefins, Polystyrenes"
styrene-isoprene-styrene block copolymer,SIS,308067-96-1,,"Aromatic, Other copolymers, Polydienes & polydiene copolymers, Polystyrenes"
"tetrafluoroethylene-perfluoro-3,6-dioxa-4-methyl-7-octenesulfonic acid copolymer",,,"ethanesulfonyl fluoride, 2-[1-[difluoro-[(trifluoroethenyl)oxy]methyl]-1,2,2,2-tetrafluoroethoxy]-1,1,2,2,-tetrafluoro-, with tetrafluoroethylene, Nafion, ethanesulfonyl fluoride, 2-[1-[difluoro-[(trifluoroethenyl)oxy]methyl]-1,2,2,2-tetrafluoroethoxy]-1,1,2,2,-tetrafluoro-, with tetrafluoroethylene","Halogenated, Other copolymers, Polyolefins, Polysulphones"
Tetrafluoroethylene perfluoropropyl vinyl ether copolymers,TFA,,PFA,"Halogenated, Other copolymers, Polyethers, Polyolefins"
Tetrafluoroethylene perfluoropropylene copolymers,PFEP,,,"Halogenated, Other copolymers, Polyolefins"
thermoplastic polyurethane,TPU,,,Polyurethanes
Thermoplastic Starch,TPS,,Starch Plastics,Polysaccarides
Toluenesulfonamide formaldehyde resin,,,Tosyl formaldehyde resin,"Aromatic, Other resins"
"trans-1,4-polybutadiene","PBD, trans",,,Polydienes & polydiene copolymers
trans-polyisoprene,"PIP, trans",,,Polydienes & polydiene copolymers
ultrahigh molecular weight polyethylene,UHMWPE,9002-88-4,,Polyolefins
ultralow density polyethylene,ULDPE,26221-73-8,,Polyolefins
unsaturated polyester,UP,92230-55-2; 654641-87-9,unsaturated polyester resins,"Other resins, Polyethers"
urea-formaldehyde resin,UF,9011-05-6; 68611-64-3; 68071-45-4,,Other resins
very highly branched polyethylene,POE,26221-73-8,,Polyolefins
Very low-density polyethylene,PEVLD,,VLDPE,Polyolefins
Vinyl chloride ethylene copolymers,VCE,,,"Halogenated, Other copolymers, Polyolefins"
vinyl ester resin,VE,36425-15-7; 68002-44-8; 926021-66-1; 877997-30-3; 855482-93-8; 848485-23-4; 208520-04-1,,Other resins
carrageenan,CAR,"9000-7-1,9000-07-1",,Polysaccarides
Chitin,,,,Polysaccarides
chitosan,CHI,9012-76-4,,Polysaccarides
gelatin,GEL,9000-70-8,,Protein based or Polypeptides
Guar gum,,,E-412,Polysaccarides
Tragacanth gum,GT,9000-65-1,,Polysaccarides
Hemicellulose,,,,Polysaccarides
Lignin,,,,Polyethers
Maltodextrine,,,,Polyethers
Natural rubber,,,,Polycyanoacrylates
Polypeptides,,,,Protein based or Polypeptides
Polysaccarides,,,,Polysaccarides
Polysilazanes,,,Poly(silazanes),Protein based or Polypeptides
proteins,PR,"9010-10-0, 70084-87-6",Protein-Based Polymeric Materials,Protein based or Polypeptides
Silk,,,,Polysaccarides
xanthan gum,XG,11138-66-2,E-415,Polysaccarides
Cellulose,C,9004-34-6,,Polysaccarides
